Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.464409,-1.464525,1.1627440E-04,1.000000,-1.464409,-1.464525,1.1627440E-04,104.2572,9.5916624E-03,
ten2,tensio,-1.460964,-1.464525,3.5605913E-03,1.000000,-1.460964,-1.464525,3.5605913E-03,104.2572,9.5916624E-03,
ten3,tensio,-1.458668,-1.464525,5.8568025E-03,1.000000,-1.458668,-1.464525,5.8568025E-03,104.2572,9.5916624E-03,
ten4,tensio,-1.459816,-1.464525,4.7086969E-03,1.000000,-1.459816,-1.464525,4.7086969E-03,104.2572,9.5916624E-03,
ten5,tensio,-1.456946,-1.464525,7.5789610E-03,1.000000,-1.456946,-1.464525,7.5789610E-03,104.2572,9.5916624E-03,
ten6,tensio,-1.461538,-1.464525,2.9865385E-03,1.000000,-1.461538,-1.464525,2.9865385E-03,104.2572,9.5916624E-03,
ten7,tensio,-1.460390,-1.464525,4.1346441E-03,1.000000,-1.460390,-1.464525,4.1346441E-03,104.2572,9.5916624E-03,
ten8,tensio,-1.458668,-1.464525,5.8568025E-03,1.000000,-1.458668,-1.464525,5.8568025E-03,104.2572,9.5916624E-03,
ten9,tensio,-1.462113,-1.464525,2.4124857E-03,1.000000,-1.462113,-1.464525,2.4124857E-03,104.2572,9.5916624E-03,
ten10,tensio,-1.453502,-1.464525,1.1023278E-02,1.000000,-1.453502,-1.464525,1.1023278E-02,104.2572,9.5916624E-03,
ten11,tensio,-1.454076,-1.464525,1.0449225E-02,1.000000,-1.454076,-1.464525,1.0449225E-02,104.2572,9.5916624E-03,
ten12,tensio,-1.451780,-1.464525,1.2745436E-02,1.000000,-1.451780,-1.464525,1.2745436E-02,104.2572,9.5916624E-03,
ten13,tensio,-1.452354,-1.464525,1.2171383E-02,1.000000,-1.452354,-1.464525,1.2171383E-02,104.2572,9.5916624E-03,
ten14,tensio,-1.458668,-1.464525,5.8568025E-03,1.000000,-1.458668,-1.464525,5.8568025E-03,104.2572,9.5916624E-03,
ten15,tensio,-1.452354,-1.464525,1.2171383E-02,1.000000,-1.452354,-1.464525,1.2171383E-02,104.2572,9.5916624E-03,
ten16,tensio,-1.448909,-1.464525,1.5615700E-02,1.000000,-1.448909,-1.464525,1.5615700E-02,104.2572,9.5916624E-03,
ten17,tensio,-1.449483,-1.464525,1.5041648E-02,1.000000,-1.449483,-1.464525,1.5041648E-02,104.2572,9.5916624E-03,
ten18,tensio,-1.430540,-1.464525,3.3985390E-02,1.000000,-1.430540,-1.464525,3.3985390E-02,104.2572,9.5916624E-03,
ten19,tensio,-1.404133,-1.464525,6.0391820E-02,1.000000,-1.404133,-1.464525,6.0391820E-02,104.2572,9.5916624E-03,
ten20,tensio,-1.320321,-1.464525,0.1442035,1.000000,-1.320321,-1.464525,0.1442035,104.2572,9.5916624E-03,
ten21,tensio,-1.060276,-0.8077680,-0.2525075,1.000000,-1.060276,-0.8077680,-0.2525075,104.2572,9.5916624E-03,
ten22,tensio,-0.7824340,-0.7486180,-3.3815984E-02,1.000000,-0.7824340,-0.7486180,-3.3815984E-02,104.2572,9.5916624E-03,
ten23,tensio,-0.7169920,-0.7313570,1.4365037E-02,1.000000,-0.7169920,-0.7313570,1.4365037E-02,104.2572,9.5916624E-03,
ten24,tensio,-0.7112514,-0.7313570,2.0105565E-02,1.000000,-0.7112514,-0.7313570,2.0105565E-02,104.2572,9.5916624E-03,
ten25,tensio,-0.7123995,-0.7151020,2.7024592E-03,1.000000,-0.7123995,-0.7151020,2.7024592E-03,104.2572,9.5916624E-03,
ten26,tensio,-0.7152698,-0.7151020,-1.6780482E-04,1.000000,-0.7152698,-0.7151020,-1.6780482E-04,104.2572,9.5916624E-03,
ten27,tensio,-0.7169920,-0.7313570,1.4365037E-02,1.000000,-0.7169920,-0.7313570,1.4365037E-02,104.2572,9.5916624E-03,
ten28,tensio,-0.7307692,-0.7486180,1.7848769E-02,1.000000,-0.7307692,-0.7486180,1.7848769E-02,104.2572,9.5916624E-03,
ten29,tensio,-0.7669346,-0.7486180,-1.8316558E-02,1.000000,-0.7669346,-0.7486180,-1.8316558E-02,104.2572,9.5916624E-03,
ten30,tensio,-0.7887486,-0.7670060,-2.1742565E-02,1.000000,-0.7887486,-0.7670060,-2.1742565E-02,104.2572,9.5916624E-03,
ten31,tensio,-0.8088404,-0.7866650,-2.2175413E-02,1.000000,-0.8088404,-0.7866650,-2.2175413E-02,104.2572,9.5916624E-03,
ten32,tensio,-0.8283582,-0.8077680,-2.0590209E-02,1.000000,-0.8283582,-0.8077680,-2.0590209E-02,104.2572,9.5916624E-03,
ten33,tensio,-0.8467279,-0.8305210,-1.6206899E-02,1.000000,-0.8467279,-0.8305210,-1.6206899E-02,104.2572,9.5916624E-03,
ten34,tensio,-0.8639495,-0.8551730,-8.7764834E-03,1.000000,-0.8639495,-0.8551730,-8.7764834E-03,104.2572,9.5916624E-03,
ten35,tensio,-0.8828932,-0.8551730,-2.7720226E-02,1.000000,-0.8828932,-0.8551730,-2.7720226E-02,104.2572,9.5916624E-03,
ten36,tensio,-0.8960964,-0.8820300,-1.4066441E-02,1.000000,-0.8960964,-0.8820300,-1.4066441E-02,104.2572,9.5916624E-03,
ten37,tensio,-0.9064294,-0.8820300,-2.4399392E-02,1.000000,-0.9064294,-0.8820300,-2.4399392E-02,104.2572,9.5916624E-03,
ten38,tensio,-0.9173364,-0.9114720,-5.8643949E-03,1.000000,-0.9173364,-0.9114720,-5.8643949E-03,104.2572,9.5916624E-03,
ten39,tensio,-0.9282434,-0.9114720,-1.6771398E-02,1.000000,-0.9282434,-0.9114720,-1.6771398E-02,104.2572,9.5916624E-03,
ten40,tensio,-0.9380023,-0.9114720,-2.6530296E-02,1.000000,-0.9380023,-0.9114720,-2.6530296E-02,104.2572,9.5916624E-03,
ten41,tensio,-0.9477612,-0.9439770,-3.7841940E-03,1.000000,-0.9477612,-0.9439770,-3.7841940E-03,104.2572,9.5916624E-03,
