Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.464409,-1.457733,-6.6757256E-03,1.000000,-1.464409,-1.457733,-6.6757256E-03,10.36981,9.6433762E-02,
ten2,tensio,-1.460964,-1.457733,-3.2314087E-03,1.000000,-1.460964,-1.457733,-3.2314087E-03,10.36981,9.6433762E-02,
ten3,tensio,-1.458668,-1.457733,-9.3519747E-04,1.000000,-1.458668,-1.457733,-9.3519747E-04,10.36981,9.6433762E-02,
ten4,tensio,-1.459816,-1.457733,-2.0833031E-03,1.000000,-1.459816,-1.457733,-2.0833031E-03,10.36981,9.6433762E-02,
ten5,tensio,-1.456946,-1.457733,7.8696096E-04,1.000000,-1.456946,-1.457733,7.8696096E-04,10.36981,9.6433762E-02,
ten6,tensio,-1.461538,-1.457733,-3.8054615E-03,1.000000,-1.461538,-1.457733,-3.8054615E-03,10.36981,9.6433762E-02,
ten7,tensio,-1.460390,-1.457733,-2.6573559E-03,1.000000,-1.460390,-1.457733,-2.6573559E-03,10.36981,9.6433762E-02,
ten8,tensio,-1.458668,-1.457733,-9.3519747E-04,1.000000,-1.458668,-1.457733,-9.3519747E-04,10.36981,9.6433762E-02,
ten9,tensio,-1.462113,-1.457733,-4.3795144E-03,1.000000,-1.462113,-1.457733,-4.3795144E-03,10.36981,9.6433762E-02,
ten10,tensio,-1.453502,-1.457733,4.2312778E-03,1.000000,-1.453502,-1.457733,4.2312778E-03,10.36981,9.6433762E-02,
ten11,tensio,-1.454076,-1.457733,3.6572250E-03,1.000000,-1.454076,-1.457733,3.6572250E-03,10.36981,9.6433762E-02,
ten12,tensio,-1.451780,-1.457733,5.9534363E-03,1.000000,-1.451780,-1.457733,5.9534363E-03,10.36981,9.6433762E-02,
ten13,tensio,-1.452354,-1.457733,5.3793835E-03,1.000000,-1.452354,-1.457733,5.3793835E-03,10.36981,9.6433762E-02,
ten14,tensio,-1.458668,-1.457733,-9.3519747E-04,1.000000,-1.458668,-1.457733,-9.3519747E-04,10.36981,9.6433762E-02,
ten15,tensio,-1.452354,-1.457733,5.3793835E-03,1.000000,-1.452354,-1.457733,5.3793835E-03,10.36981,9.6433762E-02,
ten16,tensio,-1.448909,-1.457733,8.8237003E-03,1.000000,-1.448909,-1.457733,8.8237003E-03,10.36981,9.6433762E-02,
ten17,tensio,-1.449483,-1.457733,8.2496475E-03,1.000000,-1.449483,-1.457733,8.2496475E-03,10.36981,9.6433762E-02,
ten18,tensio,-1.430540,-1.243730,-0.1868096,1.000000,-1.430540,-1.243730,-0.1868096,10.36981,9.6433762E-02,
ten19,tensio,-1.404133,-1.124677,-0.2794562,1.000000,-1.404133,-1.124677,-0.2794562,10.36981,9.6433762E-02,
ten20,tensio,-1.320321,-1.032149,-0.2881725,1.000000,-1.320321,-1.032149,-0.2881725,10.36981,9.6433762E-02,
ten21,tensio,-1.060276,-0.9711770,-8.9098545E-02,1.000000,-1.060276,-0.9711770,-8.9098545E-02,10.36981,9.6433762E-02,
ten22,tensio,-0.7824340,-0.9486170,0.1661830,1.000000,-0.7824340,-0.9486170,0.1661830,10.36981,9.6433762E-02,
ten23,tensio,-0.7169920,-0.9294610,0.2124690,1.000000,-0.7169920,-0.9294610,0.2124690,10.36981,9.6433762E-02,
ten24,tensio,-0.7112514,-0.9131960,0.2019446,1.000000,-0.7112514,-0.9131960,0.2019446,10.36981,9.6433762E-02,
