Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.834099,-1.548832,-0.2852667,1.000000,-1.834099,-1.548832,-0.2852667,0.2117752,4.721989,
ten2,tensio,-1.860505,-1.548832,-0.3116732,1.000000,-1.860505,-1.548832,-0.3116732,0.2117752,4.721989,
ten3,tensio,-1.869116,-1.548832,-0.3202840,1.000000,-1.869116,-1.548832,-0.3202840,0.2117752,4.721989,
ten4,tensio,-1.902985,-1.548832,-0.3541531,1.000000,-1.902985,-1.548832,-0.3541531,0.2117752,4.721989,
ten5,tensio,-1.915614,-1.548832,-0.3667822,1.000000,-1.915614,-1.548832,-0.3667822,0.2117752,4.721989,
ten6,tensio,-1.902985,-1.548832,-0.3541531,1.000000,-1.902985,-1.548832,-0.3541531,0.2117752,4.721989,
ten7,tensio,-1.912744,-1.548832,-0.3639120,1.000000,-1.912744,-1.548832,-0.3639120,0.2117752,4.721989,
ten8,tensio,-1.919633,-1.548832,-0.3708006,1.000000,-1.919633,-1.548832,-0.3708006,0.2117752,4.721989,
ten9,tensio,-1.910448,-1.548832,-0.3616158,1.000000,-1.910448,-1.548832,-0.3616158,0.2117752,4.721989,
ten10,tensio,-1.915040,-1.548832,-0.3662082,1.000000,-1.915040,-1.548832,-0.3662082,0.2117752,4.721989,
ten11,tensio,-1.889208,-1.548832,-0.3403758,1.000000,-1.889208,-1.548832,-0.3403758,0.2117752,4.721989,
ten12,tensio,-0.7123995,-1.548832,0.8364325,1.000000,-0.7123995,-1.548832,0.8364325,0.2117752,4.721989,
ten13,tensio,-0.5028703,-1.548832,1.045962,1.000000,-0.5028703,-1.548832,1.045962,0.2117752,4.721989,
ten14,tensio,-0.5160735,-1.134014,0.6179405,1.000000,-0.5160735,-1.134014,0.6179405,0.2117752,4.721989,
ten15,tensio,-0.5223881,-0.9407010,0.4183129,1.000000,-0.5223881,-0.9407010,0.4183129,0.2117752,4.721989,
ten16,tensio,-0.5309989,-0.7213990,0.1904001,1.000000,-0.5309989,-0.7213990,0.1904001,0.2117752,4.721989,
ten17,tensio,-0.5419059,-0.7066360,0.1647301,1.000000,-0.5419059,-0.7066360,0.1647301,0.2117752,4.721989,
ten18,tensio,-0.5602755,-0.6996300,0.1393545,1.000000,-0.5602755,-0.6996300,0.1393545,0.2117752,4.721989,
ten19,tensio,-0.5797933,-0.6928480,0.1130547,1.000000,-0.5797933,-0.6928480,0.1130547,0.2117752,4.721989,
ten20,tensio,-0.6010333,-0.6862720,8.5238705E-02,1.000000,-0.6010333,-0.6862720,8.5238705E-02,0.2117752,4.721989,
ten21,tensio,-0.6331803,-0.6862720,5.3091747E-02,1.000000,-0.6331803,-0.6862720,5.3091747E-02,0.2117752,4.721989,
ten22,tensio,-0.6647532,-0.6928480,2.8094843E-02,1.000000,-0.6647532,-0.6928480,2.8094843E-02,0.2117752,4.721989,
ten23,tensio,-0.6819747,-0.7066360,2.4661258E-02,1.000000,-0.6819747,-0.7066360,2.4661258E-02,0.2117752,4.721989,
ten24,tensio,-0.7037887,-0.7292030,2.5414251E-02,1.000000,-0.7037887,-0.7292030,2.5414251E-02,0.2117752,4.721989,
ten25,tensio,-0.7227325,-0.7546550,3.1922509E-02,1.000000,-0.7227325,-0.7546550,3.1922509E-02,0.2117752,4.721989,
ten26,tensio,-0.7365098,-0.7639400,2.7430241E-02,1.000000,-0.7365098,-0.7639400,2.7430241E-02,0.2117752,4.721989,
ten27,tensio,-0.7508611,-0.7839940,3.3132921E-02,1.000000,-0.7508611,-0.7839940,3.3132921E-02,0.2117752,4.721989,
ten28,tensio,-0.7629162,-0.7948850,3.1968812E-02,1.000000,-0.7629162,-0.7948850,3.1968812E-02,0.2117752,4.721989,
ten29,tensio,-0.7738232,-0.8064520,3.2628808E-02,1.000000,-0.7738232,-0.8064520,3.2628808E-02,0.2117752,4.721989,
ten30,tensio,-0.7743972,-0.8187870,4.4389755E-02,1.000000,-0.7743972,-0.8187870,4.4389755E-02,0.2117752,4.721989,
ten31,tensio,-0.7830080,-0.8320050,4.8996963E-02,1.000000,-0.7830080,-0.8320050,4.8996963E-02,0.2117752,4.721989,
ten32,tensio,-0.7939150,-0.8320050,3.8089960E-02,1.000000,-0.7939150,-0.8320050,3.8089960E-02,0.2117752,4.721989,
ten33,tensio,-0.8036739,-0.8462430,4.2569062E-02,1.000000,-0.8036739,-0.8462430,4.2569062E-02,0.2117752,4.721989,
ten34,tensio,-0.8117107,-0.8462430,3.4532323E-02,1.000000,-0.8117107,-0.8462430,3.4532323E-02,0.2117752,4.721989,
ten35,tensio,-0.8157290,-0.8616720,4.5942953E-02,1.000000,-0.8157290,-0.8616720,4.5942953E-02,0.2117752,4.721989,
