Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.905281,-1.559436,-0.3458453,1.000000,-1.905281,-1.559436,-0.3458453,0.2755332,3.629327,
ten2,tensio,-1.941447,-1.559436,-0.3820106,1.000000,-1.941447,-1.559436,-0.3820106,0.2755332,3.629327,
ten3,tensio,-1.955224,-1.559436,-0.3957879,1.000000,-1.955224,-1.559436,-0.3957879,0.2755332,3.629327,
ten4,tensio,-1.993685,-1.559436,-0.4342494,1.000000,-1.993685,-1.559436,-0.4342494,0.2755332,3.629327,
ten5,tensio,-2.003444,-1.559436,-0.4440083,1.000000,-2.003444,-1.559436,-0.4440083,0.2755332,3.629327,
ten6,tensio,-1.979908,-1.559436,-0.4204722,1.000000,-1.979908,-1.559436,-0.4204722,0.2755332,3.629327,
ten7,tensio,-1.997130,-1.559436,-0.4376937,1.000000,-1.997130,-1.559436,-0.4376937,0.2755332,3.629327,
ten8,tensio,-2.004018,-1.559436,-0.4445824,1.000000,-2.004018,-1.559436,-0.4445824,0.2755332,3.629327,
ten9,tensio,-2.006889,-1.559436,-0.4474526,1.000000,-2.006889,-1.559436,-0.4474526,0.2755332,3.629327,
ten10,tensio,-1.997704,-1.559436,-0.4382678,1.000000,-1.997704,-1.559436,-0.4382678,0.2755332,3.629327,
ten11,tensio,-1.980482,-1.559436,-0.4210462,1.000000,-1.980482,-1.559436,-0.4210462,0.2755332,3.629327,
ten12,tensio,-0.8042480,-1.559436,0.7551880,1.000000,-0.8042480,-1.559436,0.7551880,0.2755332,3.629327,
ten13,tensio,-0.2537313,-1.559436,1.305705,1.000000,-0.2537313,-1.559436,1.305705,0.2755332,3.629327,
ten14,tensio,-0.2887486,-1.165490,0.8767414,1.000000,-0.2887486,-1.165490,0.8767414,0.2755332,3.629327,
ten15,tensio,-0.2990815,-0.9278760,0.6287945,1.000000,-0.2990815,-0.9278760,0.6287945,0.2755332,3.629327,
ten16,tensio,-0.2657865,-0.6508380,0.3850515,1.000000,-0.2657865,-0.6508380,0.3850515,0.2755332,3.629327,
ten17,tensio,-0.2560276,-0.6424710,0.3864434,1.000000,-0.2560276,-0.6424710,0.3864434,0.2755332,3.629327,
ten18,tensio,-0.2933410,-0.6344500,0.3411090,1.000000,-0.2933410,-0.6344500,0.3411090,0.2755332,3.629327,
ten19,tensio,-0.3197474,-0.6267430,0.3069956,1.000000,-0.3197474,-0.6267430,0.3069956,0.2755332,3.629327,
ten20,tensio,-0.3541906,-0.6193250,0.2651344,1.000000,-0.3541906,-0.6193250,0.2651344,0.2755332,3.629327,
ten21,tensio,-0.4747417,-0.6193250,0.1445833,1.000000,-0.4747417,-0.6193250,0.1445833,0.2755332,3.629327,
ten22,tensio,-0.5149254,-0.6267430,0.1118176,1.000000,-0.5149254,-0.6267430,0.1118176,0.2755332,3.629327,
ten23,tensio,-0.5051665,-0.6424710,0.1373045,1.000000,-0.5051665,-0.6424710,0.1373045,0.2755332,3.629327,
ten24,tensio,-0.4598163,-0.6687510,0.2089347,1.000000,-0.4598163,-0.6687510,0.2089347,0.2755332,3.629327,
ten25,tensio,-0.4965557,-0.6992690,0.2027133,1.000000,-0.4965557,-0.6992690,0.2027133,0.2755332,3.629327,
ten26,tensio,-0.4667049,-0.7106570,0.2439521,1.000000,-0.4667049,-0.7106570,0.2439521,0.2755332,3.629327,
ten27,tensio,-0.4913892,-0.7227860,0.2313968,1.000000,-0.4913892,-0.7227860,0.2313968,0.2755332,3.629327,
ten28,tensio,-0.5229621,-0.7357590,0.2127969,1.000000,-0.5229621,-0.7357590,0.2127969,0.2755332,3.629327,
ten29,tensio,-0.5246843,-0.7497050,0.2250207,1.000000,-0.5246843,-0.7497050,0.2250207,0.2755332,3.629327,
ten30,tensio,-0.5200918,-0.7647760,0.2446842,1.000000,-0.5200918,-0.7647760,0.2446842,0.2755332,3.629327,
ten31,tensio,-0.5344432,-0.7647760,0.2303328,1.000000,-0.5344432,-0.7647760,0.2303328,0.2755332,3.629327,
ten32,tensio,-0.5568312,-0.7811650,0.2243338,1.000000,-0.5568312,-0.7811650,0.2243338,0.2755332,3.629327,
ten33,tensio,-0.6050517,-0.7811650,0.1761133,1.000000,-0.6050517,-0.7811650,0.1761133,0.2755332,3.629327,
ten34,tensio,-0.6905855,-0.7991160,0.1085305,1.000000,-0.6905855,-0.7991160,0.1085305,0.2755332,3.629327,
ten35,tensio,-0.6957520,-0.7991160,0.1033640,1.000000,-0.6957520,-0.7991160,0.1033640,0.2755332,3.629327,
ten36,tensio,-0.6113662,-0.8189420,0.2075758,1.000000,-0.6113662,-0.8189420,0.2075758,0.2755332,3.629327,
ten37,tensio,-0.6584386,-0.8189420,0.1605034,1.000000,-0.6584386,-0.8189420,0.1605034,0.2755332,3.629327,
ten38,tensio,-0.6940299,-0.8189420,0.1249121,1.000000,-0.6940299,-0.8189420,0.1249121,0.2755332,3.629327,
ten39,tensio,-0.7198622,-0.8410540,0.1211918,1.000000,-0.7198622,-0.8410540,0.1211918,0.2755332,3.629327,
ten40,tensio,-0.6538462,-0.8410540,0.1872078,1.000000,-0.6538462,-0.8410540,0.1872078,0.2755332,3.629327,
ten41,tensio,-0.6699196,-0.8410540,0.1711344,1.000000,-0.6699196,-0.8410540,0.1711344,0.2755332,3.629327,
ten42,tensio,-0.6894374,-0.8410540,0.1516166,1.000000,-0.6894374,-0.8410540,0.1516166,0.2755332,3.629327,
ten43,tensio,-0.7112514,-0.8410540,0.1298026,1.000000,-0.7112514,-0.8410540,0.1298026,0.2755332,3.629327,
ten44,tensio,-0.7204363,-0.8660080,0.1455717,1.000000,-0.7204363,-0.8660080,0.1455717,0.2755332,3.629327,
ten45,tensio,-0.7560276,-0.8660080,0.1099804,1.000000,-0.7560276,-0.8660080,0.1099804,0.2755332,3.629327,
ten46,tensio,-0.8030999,-0.8660080,6.2908115E-02,1.000000,-0.8030999,-0.8660080,6.2908115E-02,0.2755332,3.629327,
ten47,tensio,-0.8030999,-0.8660080,6.2908115E-02,1.000000,-0.8030999,-0.8660080,6.2908115E-02,0.2755332,3.629327,
ten48,tensio,-0.7950631,-0.8660080,7.0944854E-02,1.000000,-0.7950631,-0.8660080,7.0944854E-02,0.2755332,3.629327,
ten49,tensio,-0.7853042,-0.8660080,8.0703752E-02,1.000000,-0.7853042,-0.8660080,8.0703752E-02,0.2755332,3.629327,
ten50,tensio,-0.8174512,-0.8945770,7.7125794E-02,1.000000,-0.8174512,-0.8945770,7.7125794E-02,0.2755332,3.629327,
ten51,tensio,-0.8346728,-0.8945770,5.9904210E-02,1.000000,-0.8346728,-0.8945770,5.9904210E-02,0.2755332,3.629327,
ten52,tensio,-0.8352468,-0.8945770,5.9330157E-02,1.000000,-0.8352468,-0.8945770,5.9330157E-02,0.2755332,3.629327,
ten53,tensio,-0.8203215,-0.8945770,7.4255530E-02,1.000000,-0.8203215,-0.8945770,7.4255530E-02,0.2755332,3.629327,
ten54,tensio,-0.8208955,-0.8945770,7.3681478E-02,1.000000,-0.8208955,-0.8945770,7.3681478E-02,0.2755332,3.629327,
ten55,tensio,-0.8300804,-0.8945770,6.4496633E-02,1.000000,-0.8300804,-0.8945770,6.4496633E-02,0.2755332,3.629327,
ten56,tensio,-0.8352468,-0.8945770,5.9330157E-02,1.000000,-0.8352468,-0.8945770,5.9330157E-02,0.2755332,3.629327,
ten57,tensio,-0.8404133,-0.8945770,5.4163682E-02,1.000000,-0.8404133,-0.8945770,5.4163682E-02,0.2755332,3.629327,
ten58,tensio,-0.8455798,-0.8945770,4.8997207E-02,1.000000,-0.8455798,-0.8945770,4.8997207E-02,0.2755332,3.629327,
ten59,tensio,-0.8404133,-0.9278760,8.7462682E-02,1.000000,-0.8404133,-0.9278760,8.7462682E-02,0.2755332,3.629327,
ten60,tensio,-0.8484501,-0.9278760,7.9425943E-02,1.000000,-0.8484501,-0.9278760,7.9425943E-02,0.2755332,3.629327,
ten61,tensio,-0.8553387,-0.9278760,7.2537309E-02,1.000000,-0.8553387,-0.9278760,7.2537309E-02,0.2755332,3.629327,
ten62,tensio,-0.8605052,-0.9278760,6.7370834E-02,1.000000,-0.8605052,-0.9278760,6.7370834E-02,0.2755332,3.629327,
ten63,tensio,-0.8691160,-0.9278760,5.8760041E-02,1.000000,-0.8691160,-0.9278760,5.8760041E-02,0.2755332,3.629327,
ten64,tensio,-0.8748565,-0.9278760,5.3019513E-02,1.000000,-0.8748565,-0.9278760,5.3019513E-02,0.2755332,3.629327,
ten65,tensio,-0.8800230,-0.9278760,4.7853038E-02,1.000000,-0.8800230,-0.9278760,4.7853038E-02,0.2755332,3.629327,
ten66,tensio,-0.8886338,-0.9278760,3.9242246E-02,1.000000,-0.8886338,-0.9278760,3.9242246E-02,0.2755332,3.629327,
ten67,tensio,-0.9006889,-0.9278760,2.7187137E-02,1.000000,-0.9006889,-0.9278760,2.7187137E-02,0.2755332,3.629327,
ten68,tensio,-0.9110218,-0.9278760,1.6854186E-02,1.000000,-0.9110218,-0.9278760,1.6854186E-02,0.2755332,3.629327,
ten69,tensio,-0.9207807,-0.9278760,7.0952882E-03,1.000000,-0.9207807,-0.9278760,7.0952882E-03,0.2755332,3.629327,
ten70,tensio,-0.9311137,-0.9278760,-3.2376625E-03,1.000000,-0.9311137,-0.9278760,-3.2376625E-03,0.2755332,3.629327,
ten71,tensio,-0.9408726,-0.9278760,-1.2996560E-02,1.000000,-0.9408726,-0.9278760,-1.2996560E-02,0.2755332,3.629327,
ten72,tensio,-0.9483352,-0.9675970,1.9261753E-02,1.000000,-0.9483352,-0.9675970,1.9261753E-02,0.2755332,3.629327,
ten73,tensio,-0.9563720,-0.9675970,1.1225014E-02,1.000000,-0.9563720,-0.9675970,1.1225014E-02,0.2755332,3.629327,
ten74,tensio,-0.9621125,-0.9675970,5.4844856E-03,1.000000,-0.9621125,-0.9675970,5.4844856E-03,0.2755332,3.629327,
ten75,tensio,-0.9707233,-0.9675970,-3.1263065E-03,1.000000,-0.9707233,-0.9675970,-3.1263065E-03,0.2755332,3.629327,
ten76,tensio,-0.9816303,-0.9675970,-1.4033310E-02,1.000000,-0.9816303,-0.9675970,-1.4033310E-02,0.2755332,3.629327,
ten77,tensio,-0.9896670,-0.9675970,-2.2070049E-02,1.000000,-0.9896670,-0.9675970,-2.2070049E-02,0.2755332,3.629327,
ten78,tensio,-1.013203,-0.9675970,-4.5606215E-02,1.000000,-1.013203,-0.9675970,-4.5606215E-02,0.2755332,3.629327,
ten79,tensio,-1.019518,-0.9675970,-5.1920796E-02,1.000000,-1.019518,-0.9675970,-5.1920796E-02,0.2755332,3.629327,
ten80,tensio,-1.026980,-0.9675970,-5.9383482E-02,1.000000,-1.026980,-0.9675970,-5.9383482E-02,0.2755332,3.629327,
ten81,tensio,-1.034443,-0.9675970,-6.6846169E-02,1.000000,-1.034443,-0.9675970,-6.6846169E-02,0.2755332,3.629327,
ten82,tensio,-1.042480,-0.9675970,-7.4882908E-02,1.000000,-1.042480,-0.9675970,-7.4882908E-02,0.2755332,3.629327,
ten83,tensio,-1.048220,-0.9675970,-8.0623436E-02,1.000000,-1.048220,-0.9675970,-8.0623436E-02,0.2755332,3.629327,
ten84,tensio,-1.055109,-0.9675970,-8.7512070E-02,1.000000,-1.055109,-0.9675970,-8.7512070E-02,0.2755332,3.629327,
ten85,tensio,-1.061424,-0.9675970,-9.3826651E-02,1.000000,-1.061424,-0.9675970,-9.3826651E-02,0.2755332,3.629327,
ten86,tensio,-1.067164,-0.9675970,-9.9567179E-02,1.000000,-1.067164,-0.9675970,-9.9567179E-02,0.2755332,3.629327,
ten87,tensio,-1.071183,-0.9675970,-0.1035855,1.000000,-1.071183,-0.9675970,-0.1035855,0.2755332,3.629327,
ten88,tensio,-1.075775,-0.9675970,-0.1081780,1.000000,-1.075775,-0.9675970,-0.1081780,0.2755332,3.629327,
ten89,tensio,-1.076349,-0.9675970,-0.1087520,1.000000,-1.076349,-0.9675970,-0.1087520,0.2755332,3.629327,
ten90,tensio,-1.068886,-0.9675970,-0.1012893,1.000000,-1.068886,-0.9675970,-0.1012893,0.2755332,3.629327,
ten91,tensio,-1.070608,-0.9675970,-0.1030115,1.000000,-1.070608,-0.9675970,-0.1030115,0.2755332,3.629327,
ten92,tensio,-1.075775,-0.9675970,-0.1081780,1.000000,-1.075775,-0.9675970,-0.1081780,0.2755332,3.629327,
ten93,tensio,-1.070608,-0.9675970,-0.1030115,1.000000,-1.070608,-0.9675970,-0.1030115,0.2755332,3.629327,
ten94,tensio,-1.046498,-1.016465,-3.0033278E-02,1.000000,-1.046498,-1.016465,-3.0033278E-02,0.2755332,3.629327,
ten95,tensio,-1.033295,-1.016465,-1.6830063E-02,1.000000,-1.033295,-1.016465,-1.6830063E-02,0.2755332,3.629327,
ten96,tensio,-1.052239,-1.016465,-3.5773806E-02,1.000000,-1.052239,-1.016465,-3.5773806E-02,0.2755332,3.629327,
