Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.950057,-1.924606,-2.5451405E-02,1.000000,-1.950057,-1.924606,-2.5451405E-02,82.95645,1.2054518E-02,
ten2,tensio,-1.934558,-1.924606,-9.9519793E-03,1.000000,-1.934558,-1.924606,-9.9519793E-03,82.95645,1.2054518E-02,
ten3,tensio,-1.923651,-1.924606,9.5502411E-04,1.000000,-1.923651,-1.924606,9.5502411E-04,82.95645,1.2054518E-02,
ten4,tensio,-1.913318,-1.924606,1.1287975E-02,1.000000,-1.913318,-1.924606,1.1287975E-02,82.95645,1.2054518E-02,
ten5,tensio,-1.909874,-1.924606,1.4732292E-02,1.000000,-1.909874,-1.924606,1.4732292E-02,82.95645,1.2054518E-02,
ten6,tensio,-1.901263,-1.924606,2.3343084E-02,1.000000,-1.901263,-1.924606,2.3343084E-02,82.95645,1.2054518E-02,
ten7,tensio,-1.911022,-1.924606,1.3584186E-02,1.000000,-1.911022,-1.924606,1.3584186E-02,82.95645,1.2054518E-02,
ten8,tensio,-1.910448,-1.924606,1.4158239E-02,1.000000,-1.910448,-1.924606,1.4158239E-02,82.95645,1.2054518E-02,
ten9,tensio,-1.909874,-1.924606,1.4732292E-02,1.000000,-1.909874,-1.924606,1.4732292E-02,82.95645,1.2054518E-02,
ten10,tensio,-1.910448,-1.924606,1.4158239E-02,1.000000,-1.910448,-1.924606,1.4158239E-02,82.95645,1.2054518E-02,
ten11,tensio,-1.907003,-1.924606,1.7602556E-02,1.000000,-1.907003,-1.924606,1.7602556E-02,82.95645,1.2054518E-02,
ten12,tensio,-1.892078,-1.924606,3.2527929E-02,1.000000,-1.892078,-1.924606,3.2527929E-02,82.95645,1.2054518E-02,
ten13,tensio,-1.880023,-1.678562,-0.2014610,1.000000,-1.880023,-1.678562,-0.2014610,82.95645,1.2054518E-02,
ten14,tensio,-1.872560,-1.386759,-0.4858013,1.000000,-1.872560,-1.386759,-0.4858013,82.95645,1.2054518E-02,
ten15,tensio,-1.876579,-1.386759,-0.4898196,1.000000,-1.876579,-1.386759,-0.4898196,82.95645,1.2054518E-02,
ten16,tensio,-1.879449,-1.405751,-0.4736979,1.000000,-1.879449,-1.405751,-0.4736979,82.95645,1.2054518E-02,
ten17,tensio,-0.7646383,-1.405751,0.6411127,1.000000,-0.7646383,-1.405751,0.6411127,82.95645,1.2054518E-02,
