Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-0.6257176,-0.4363760,-0.1893416,1.000000,-0.6257176,-0.4363760,-0.1893416,0.1647511,6.069761,
ten2,tensio,-0.6349024,-0.4363760,-0.1985264,1.000000,-0.6349024,-0.4363760,-0.1985264,0.1647511,6.069761,
ten3,tensio,-0.6504018,-0.4363760,-0.2140258,1.000000,-0.6504018,-0.4363760,-0.2140258,0.1647511,6.069761,
ten4,tensio,-0.6618829,-0.4363760,-0.2255069,1.000000,-0.6618829,-0.4363760,-0.2255069,0.1647511,6.069761,
ten5,tensio,-0.6710677,-0.4363760,-0.2346917,1.000000,-0.6710677,-0.4363760,-0.2346917,0.1647511,6.069761,
ten6,tensio,-0.6021814,-0.4363760,-0.1658054,1.000000,-0.6021814,-0.4363760,-0.1658054,0.1647511,6.069761,
ten7,tensio,-0.3696900,-0.4363760,6.6685989E-02,1.000000,-0.3696900,-0.4363760,6.6685989E-02,0.1647511,6.069761,
ten8,tensio,-0.3966705,-0.4363760,3.9705506E-02,1.000000,-0.3966705,-0.4363760,3.9705506E-02,0.1647511,6.069761,
ten9,tensio,-0.4196326,-0.4363760,1.6743394E-02,1.000000,-0.4196326,-0.4363760,1.6743394E-02,0.1647511,6.069761,
ten10,tensio,-0.4431688,-0.4363760,-6.7927715E-03,1.000000,-0.4431688,-0.4363760,-6.7927715E-03,0.1647511,6.069761,
ten11,tensio,-0.4649828,-0.4363760,-2.8606778E-02,1.000000,-0.4649828,-0.4363760,-2.8606778E-02,0.1647511,6.069761,
ten12,tensio,-0.4845006,-0.4363760,-4.8124574E-02,1.000000,-0.4845006,-0.4363760,-4.8124574E-02,0.1647511,6.069761,
ten13,tensio,-0.5034443,-0.4363760,-6.7068317E-02,1.000000,-0.5034443,-0.4363760,-6.7068317E-02,0.1647511,6.069761,
ten14,tensio,-0.5172216,-0.4363760,-8.0845584E-02,1.000000,-0.5172216,-0.4363760,-8.0845584E-02,0.1647511,6.069761,
ten15,tensio,-0.5258324,-0.4363760,-8.9456377E-02,1.000000,-0.5258324,-0.4363760,-8.9456377E-02,0.1647511,6.069761,
ten16,tensio,-0.4954076,-0.4363760,-5.9031577E-02,1.000000,-0.4954076,-0.4363760,-5.9031577E-02,0.1647511,6.069761,
ten17,tensio,-0.3220436,-0.4363760,0.1143324,1.000000,-0.3220436,-0.4363760,0.1143324,0.1647511,6.069761,
ten18,tensio,-0.1934558,-0.4363760,0.2429202,1.000000,-0.1934558,-0.4363760,0.2429202,0.1647511,6.069761,
ten19,tensio,-0.1326062,-0.4363760,0.3037698,1.000000,-0.1326062,-0.4363760,0.3037698,0.1647511,6.069761,
ten20,tensio,-0.1107922,-0.4363760,0.3255838,1.000000,-0.1107922,-0.4363760,0.3255838,0.1647511,6.069761,
ten21,tensio,-9.8163031E-02,-0.4363760,0.3382130,1.000000,-9.8163031E-02,-0.4363760,0.3382130,0.1647511,6.069761,
ten22,tensio,-9.0700344E-02,-0.4363760,0.3456757,1.000000,-9.0700344E-02,-0.4363760,0.3456757,0.1647511,6.069761,
ten23,tensio,-9.2422503E-02,-0.4363760,0.3439535,1.000000,-9.2422503E-02,-0.4363760,0.3439535,0.1647511,6.069761,
ten24,tensio,-9.7014925E-02,-0.4363760,0.3393611,1.000000,-9.7014925E-02,-0.4363760,0.3393611,0.1647511,6.069761,
ten25,tensio,-0.1050517,-0.4363760,0.3313243,1.000000,-0.1050517,-0.4363760,0.3313243,0.1647511,6.069761,
