Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten61,tensio,-2.491389,-2.288929,-0.2024602,1.000000,-2.491389,-2.288929,-0.2024602,0.4057425,2.464618,
ten62,tensio,-2.491389,-2.288929,-0.2024602,1.000000,-2.491389,-2.288929,-0.2024602,0.4057425,2.464618,
ten63,tensio,-2.491389,-2.288929,-0.2024602,1.000000,-2.491389,-2.288929,-0.2024602,0.4057425,2.464618,
ten64,tensio,-2.497130,-2.288929,-0.2082007,1.000000,-2.497130,-2.288929,-0.2082007,0.4057425,2.464618,
ten65,tensio,-2.491389,-2.288929,-0.2024602,1.000000,-2.491389,-2.288929,-0.2024602,0.4057425,2.464618,
ten66,tensio,-2.491389,-2.288929,-0.2024602,1.000000,-2.491389,-2.288929,-0.2024602,0.4057425,2.464618,
ten67,tensio,-2.497130,-2.288929,-0.2082007,1.000000,-2.497130,-2.288929,-0.2082007,0.4057425,2.464618,
ten68,tensio,-2.497130,-2.288929,-0.2082007,1.000000,-2.497130,-2.288929,-0.2082007,0.4057425,2.464618,
ten69,tensio,-2.497130,-2.288929,-0.2082007,1.000000,-2.497130,-2.288929,-0.2082007,0.4057425,2.464618,
ten70,tensio,-2.491389,-2.373711,-0.1176782,1.000000,-2.491389,-2.373711,-0.1176782,0.4057425,2.464618,
ten71,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten72,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten73,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten74,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten75,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten76,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten77,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten78,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten79,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten80,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten81,tensio,-2.497130,-2.373711,-0.1234187,1.000000,-2.497130,-2.373711,-0.1234187,0.4057425,2.464618,
ten82,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten83,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten84,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten85,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten86,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten87,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten88,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten89,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten90,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten91,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten92,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten93,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten94,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten95,tensio,-2.497130,-2.469590,-2.7539736E-02,1.000000,-2.497130,-2.469590,-2.7539736E-02,0.4057425,2.464618,
ten96,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
