Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.464409,-1.457023,-7.3857256E-03,1.000000,-1.464409,-1.457023,-7.3857256E-03,103.6952,9.6436476E-03,
ten2,tensio,-1.460964,-1.457023,-3.9414087E-03,1.000000,-1.460964,-1.457023,-3.9414087E-03,103.6952,9.6436476E-03,
ten3,tensio,-1.458668,-1.457023,-1.6451975E-03,1.000000,-1.458668,-1.457023,-1.6451975E-03,103.6952,9.6436476E-03,
ten4,tensio,-1.459816,-1.457023,-2.7933031E-03,1.000000,-1.459816,-1.457023,-2.7933031E-03,103.6952,9.6436476E-03,
ten5,tensio,-1.456946,-1.457023,7.6960960E-05,1.000000,-1.456946,-1.457023,7.6960960E-05,103.6952,9.6436476E-03,
ten6,tensio,-1.461538,-1.457023,-4.5154615E-03,1.000000,-1.461538,-1.457023,-4.5154615E-03,103.6952,9.6436476E-03,
ten7,tensio,-1.460390,-1.457023,-3.3673559E-03,1.000000,-1.460390,-1.457023,-3.3673559E-03,103.6952,9.6436476E-03,
ten8,tensio,-1.458668,-1.457023,-1.6451975E-03,1.000000,-1.458668,-1.457023,-1.6451975E-03,103.6952,9.6436476E-03,
ten9,tensio,-1.462113,-1.457023,-5.0895144E-03,1.000000,-1.462113,-1.457023,-5.0895144E-03,103.6952,9.6436476E-03,
ten10,tensio,-1.453502,-1.457023,3.5212778E-03,1.000000,-1.453502,-1.457023,3.5212778E-03,103.6952,9.6436476E-03,
ten11,tensio,-1.454076,-1.457023,2.9472250E-03,1.000000,-1.454076,-1.457023,2.9472250E-03,103.6952,9.6436476E-03,
ten12,tensio,-1.451780,-1.457023,5.2434363E-03,1.000000,-1.451780,-1.457023,5.2434363E-03,103.6952,9.6436476E-03,
ten13,tensio,-1.452354,-1.457023,4.6693835E-03,1.000000,-1.452354,-1.457023,4.6693835E-03,103.6952,9.6436476E-03,
ten14,tensio,-1.458668,-1.457023,-1.6451975E-03,1.000000,-1.458668,-1.457023,-1.6451975E-03,103.6952,9.6436476E-03,
ten15,tensio,-1.452354,-1.457023,4.6693835E-03,1.000000,-1.452354,-1.457023,4.6693835E-03,103.6952,9.6436476E-03,
ten16,tensio,-1.448909,-1.457023,8.1137003E-03,1.000000,-1.448909,-1.457023,8.1137003E-03,103.6952,9.6436476E-03,
ten17,tensio,-1.449483,-1.306147,-0.1433364,1.000000,-1.449483,-1.306147,-0.1433364,103.6952,9.6436476E-03,
ten18,tensio,-1.430540,-1.093045,-0.3374946,1.000000,-1.430540,-1.093045,-0.3374946,103.6952,9.6436476E-03,
ten19,tensio,-1.404133,-0.9802780,-0.4238552,1.000000,-1.404133,-0.9802780,-0.4238552,103.6952,9.6436476E-03,
ten20,tensio,-1.320321,-0.9446740,-0.3756475,1.000000,-1.320321,-0.9446740,-0.3756475,103.6952,9.6436476E-03,
ten21,tensio,-1.060276,-0.9199120,-0.1403635,1.000000,-1.060276,-0.9199120,-0.1403635,103.6952,9.6436476E-03,
ten22,tensio,-0.7824340,-0.8986610,0.1162270,1.000000,-0.7824340,-0.8986610,0.1162270,103.6952,9.6436476E-03,
ten23,tensio,-0.7169920,-0.8787560,0.1617640,1.000000,-0.7169920,-0.8787560,0.1617640,103.6952,9.6436476E-03,
ten24,tensio,-0.7112514,-0.8646130,0.1533616,1.000000,-0.7112514,-0.8646130,0.1533616,103.6952,9.6436476E-03,
ten25,tensio,-0.7123995,-0.8661530,0.1537535,1.000000,-0.7123995,-0.8661530,0.1537535,103.6952,9.6436476E-03,
ten26,tensio,-0.7152698,-0.8661530,0.1508832,1.000000,-0.7152698,-0.8661530,0.1508832,103.6952,9.6436476E-03,
ten27,tensio,-0.7169920,-0.8677010,0.1507090,1.000000,-0.7169920,-0.8677010,0.1507090,103.6952,9.6436476E-03,
ten28,tensio,-0.7307692,-0.8692570,0.1384878,1.000000,-0.7307692,-0.8692570,0.1384878,103.6952,9.6436476E-03,
ten29,tensio,-0.7669346,-0.8692570,0.1023224,1.000000,-0.7669346,-0.8692570,0.1023224,103.6952,9.6436476E-03,
ten30,tensio,-0.7887486,-0.8708200,8.2071435E-02,1.000000,-0.7887486,-0.8708200,8.2071435E-02,103.6952,9.6436476E-03,
ten31,tensio,-0.8088404,-0.8723910,6.3550587E-02,1.000000,-0.8088404,-0.8723910,6.3550587E-02,103.6952,9.6436476E-03,
ten32,tensio,-0.8283582,-0.8739700,4.5611791E-02,1.000000,-0.8283582,-0.8739700,4.5611791E-02,103.6952,9.6436476E-03,
ten33,tensio,-0.8467279,-0.8739700,2.7242101E-02,1.000000,-0.8467279,-0.8739700,2.7242101E-02,103.6952,9.6436476E-03,
ten34,tensio,-0.8639495,-0.8755570,1.1607517E-02,1.000000,-0.8639495,-0.8755570,1.1607517E-02,103.6952,9.6436476E-03,
ten35,tensio,-0.8828932,-0.8771520,-5.7412262E-03,1.000000,-0.8828932,-0.8771520,-5.7412262E-03,103.6952,9.6436476E-03,
ten36,tensio,-0.8960964,-0.8819870,-1.4109441E-02,1.000000,-0.8960964,-0.8819870,-1.4109441E-02,103.6952,9.6436476E-03,
ten37,tensio,-0.9064294,-0.8935650,-1.2864392E-02,1.000000,-0.9064294,-0.8935650,-1.2864392E-02,103.6952,9.6436476E-03,
ten38,tensio,-0.9173364,-0.9055860,-1.1750395E-02,1.000000,-0.9173364,-0.9055860,-1.1750395E-02,103.6952,9.6436476E-03,
ten39,tensio,-0.9282434,-0.9162690,-1.1974398E-02,1.000000,-0.9282434,-0.9162690,-1.1974398E-02,103.6952,9.6436476E-03,
ten40,tensio,-0.9380023,-0.9254570,-1.2545296E-02,1.000000,-0.9380023,-0.9254570,-1.2545296E-02,103.6952,9.6436476E-03,
ten41,tensio,-0.9477612,-0.9349200,-1.2841194E-02,1.000000,-0.9477612,-0.9349200,-1.2841194E-02,103.6952,9.6436476E-03,
ten42,tensio,-0.9552239,-0.9426990,-1.2524881E-02,1.000000,-0.9552239,-0.9426990,-1.2524881E-02,103.6952,9.6436476E-03,
ten43,tensio,-0.9632606,-0.9506750,-1.2585620E-02,1.000000,-0.9632606,-0.9506750,-1.2585620E-02,103.6952,9.6436476E-03,
ten44,tensio,-0.9712974,-0.9588560,-1.2441359E-02,1.000000,-0.9712974,-0.9588560,-1.2441359E-02,103.6952,9.6436476E-03,
ten45,tensio,-0.9799082,-0.9672530,-1.2655152E-02,1.000000,-0.9799082,-0.9672530,-1.2655152E-02,103.6952,9.6436476E-03,
ten46,tensio,-0.9862227,-0.9736990,-1.2523732E-02,1.000000,-0.9862227,-0.9736990,-1.2523732E-02,103.6952,9.6436476E-03,
ten47,tensio,-0.9936854,-0.9802780,-1.3407419E-02,1.000000,-0.9936854,-0.9802780,-1.3407419E-02,103.6952,9.6436476E-03,
ten48,tensio,-1.000574,-0.9869950,-1.3579053E-02,1.000000,-1.000574,-0.9869950,-1.3579053E-02,103.6952,9.6436476E-03,
ten49,tensio,-1.006889,-0.9938560,-1.3032634E-02,1.000000,-1.006889,-0.9938560,-1.3032634E-02,103.6952,9.6436476E-03,
ten50,tensio,-1.013203,-1.000866,-1.2337215E-02,1.000000,-1.013203,-1.000866,-1.2337215E-02,103.6952,9.6436476E-03,
ten51,tensio,-1.020092,-1.005625,-1.4466848E-02,1.000000,-1.020092,-1.005625,-1.4466848E-02,103.6952,9.6436476E-03,
ten52,tensio,-1.025832,-1.010456,-1.5376377E-02,1.000000,-1.025832,-1.010456,-1.5376377E-02,103.6952,9.6436476E-03,
ten53,tensio,-1.030999,-1.017839,-1.3159852E-02,1.000000,-1.030999,-1.017839,-1.3159852E-02,103.6952,9.6436476E-03,
ten54,tensio,-1.035591,-1.022856,-1.2735274E-02,1.000000,-1.035591,-1.022856,-1.2735274E-02,103.6952,9.6436476E-03,
ten55,tensio,-1.039610,-1.027952,-1.1657644E-02,1.000000,-1.039610,-1.027952,-1.1657644E-02,103.6952,9.6436476E-03,
ten56,tensio,-1.044202,-1.033129,-1.1073067E-02,1.000000,-1.044202,-1.033129,-1.1073067E-02,103.6952,9.6436476E-03,
ten57,tensio,-1.049943,-1.038389,-1.1553595E-02,1.000000,-1.049943,-1.038389,-1.1553595E-02,103.6952,9.6436476E-03,
ten58,tensio,-1.052813,-1.041051,-1.1761859E-02,1.000000,-1.052813,-1.041051,-1.1761859E-02,103.6952,9.6436476E-03,
ten59,tensio,-1.056257,-1.046441,-9.8161757E-03,1.000000,-1.056257,-1.046441,-9.8161757E-03,103.6952,9.6436476E-03,
ten60,tensio,-1.060850,-1.051920,-8.9295982E-03,1.000000,-1.060850,-1.051920,-8.9295982E-03,103.6952,9.6436476E-03,
