Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.273823,-1.231099,-4.2724192E-02,1.000000,-1.273823,-1.231099,-4.2724192E-02,0.1300649,7.688469,
ten2,tensio,-1.264638,-1.231099,-3.3539347E-02,1.000000,-1.264638,-1.231099,-3.3539347E-02,0.1300649,7.688469,
ten3,tensio,-1.270953,-1.231099,-3.9853928E-02,1.000000,-1.270953,-1.231099,-3.9853928E-02,0.1300649,7.688469,
ten4,tensio,-1.261768,-1.231099,-3.0669083E-02,1.000000,-1.261768,-1.231099,-3.0669083E-02,0.1300649,7.688469,
ten5,tensio,-1.270953,-1.231099,-3.9853928E-02,1.000000,-1.270953,-1.231099,-3.9853928E-02,0.1300649,7.688469,
ten6,tensio,-1.273249,-1.231099,-4.2150139E-02,1.000000,-1.273249,-1.231099,-4.2150139E-02,0.1300649,7.688469,
ten7,tensio,-1.275545,-1.231099,-4.4446350E-02,1.000000,-1.275545,-1.231099,-4.4446350E-02,0.1300649,7.688469,
ten8,tensio,-1.270953,-1.231099,-3.9853928E-02,1.000000,-1.270953,-1.231099,-3.9853928E-02,0.1300649,7.688469,
ten9,tensio,-1.272101,-1.231099,-4.1002033E-02,1.000000,-1.272101,-1.231099,-4.1002033E-02,0.1300649,7.688469,
ten10,tensio,-1.260620,-1.231099,-2.9520977E-02,1.000000,-1.260620,-1.231099,-2.9520977E-02,0.1300649,7.688469,
ten11,tensio,-1.266935,-1.231099,-3.5835558E-02,1.000000,-1.266935,-1.231099,-3.5835558E-02,0.1300649,7.688469,
ten12,tensio,-1.275545,-1.231099,-4.4446350E-02,1.000000,-1.275545,-1.231099,-4.4446350E-02,0.1300649,7.688469,
ten13,tensio,-1.264638,-1.231099,-3.3539347E-02,1.000000,-1.264638,-1.231099,-3.3539347E-02,0.1300649,7.688469,
ten14,tensio,-1.269231,-1.231099,-3.8131769E-02,1.000000,-1.269231,-1.231099,-3.8131769E-02,0.1300649,7.688469,
ten15,tensio,-1.274397,-1.231099,-4.3298245E-02,1.000000,-1.274397,-1.231099,-4.3298245E-02,0.1300649,7.688469,
ten16,tensio,-1.276693,-1.231099,-4.5594456E-02,1.000000,-1.276693,-1.231099,-4.5594456E-02,0.1300649,7.688469,
ten17,tensio,-1.271527,-1.231099,-4.0427980E-02,1.000000,-1.271527,-1.231099,-4.0427980E-02,0.1300649,7.688469,
ten18,tensio,-1.274971,-1.231099,-4.3872297E-02,1.000000,-1.274971,-1.231099,-4.3872297E-02,0.1300649,7.688469,
ten19,tensio,-1.262342,-0.9378760,-0.3244661,1.000000,-1.262342,-0.9378760,-0.3244661,0.1300649,7.688469,
ten20,tensio,-1.245121,-0.7330430,-0.5120776,1.000000,-1.245121,-0.7330430,-0.5120776,0.1300649,7.688469,
ten21,tensio,-1.189437,-0.7330430,-0.4563944,1.000000,-1.189437,-0.7330430,-0.4563944,0.1300649,7.688469,
ten22,tensio,-0.9690011,-0.6519920,-0.3170091,1.000000,-0.9690011,-0.6519920,-0.3170091,0.1300649,7.688469,
ten23,tensio,-0.8122847,-0.6519920,-0.1602927,1.000000,-0.8122847,-0.6519920,-0.1602927,0.1300649,7.688469,
ten24,tensio,-0.7566016,-0.6519920,-0.1046096,1.000000,-0.7566016,-0.6519920,-0.1046096,0.1300649,7.688469,
ten25,tensio,-0.7336395,-0.6519920,-8.1647495E-02,1.000000,-0.7336395,-0.6519920,-8.1647495E-02,0.1300649,7.688469,
ten26,tensio,-0.7221584,-0.5813050,-0.1408534,1.000000,-0.7221584,-0.5813050,-0.1408534,0.1300649,7.688469,
ten27,tensio,-0.7215844,-0.5813050,-0.1402794,1.000000,-0.7215844,-0.5813050,-0.1402794,0.1300649,7.688469,
ten28,tensio,-0.7301952,-0.5813050,-0.1488902,1.000000,-0.7301952,-0.5813050,-0.1488902,0.1300649,7.688469,
ten29,tensio,-0.7468427,-0.5813050,-0.1655377,1.000000,-0.7468427,-0.5813050,-0.1655377,0.1300649,7.688469,
ten30,tensio,-0.7640643,-0.5813050,-0.1827593,1.000000,-0.7640643,-0.5813050,-0.1827593,0.1300649,7.688469,
ten31,tensio,-0.7784156,-0.5813050,-0.1971106,1.000000,-0.7784156,-0.5813050,-0.1971106,0.1300649,7.688469,
ten32,tensio,-0.7904707,-0.5813050,-0.2091657,1.000000,-0.7904707,-0.5813050,-0.2091657,0.1300649,7.688469,
ten33,tensio,-0.8048220,-0.5813050,-0.2235170,1.000000,-0.8048220,-0.5813050,-0.2235170,0.1300649,7.688469,
ten34,tensio,-0.8191734,-0.6519920,-0.1671814,1.000000,-0.8191734,-0.6519920,-0.1671814,0.1300649,7.688469,
ten35,tensio,-0.8140069,-0.6519920,-0.1620149,1.000000,-0.8140069,-0.6519920,-0.1620149,0.1300649,7.688469,
ten36,tensio,-0.8180253,-0.6519920,-0.1660333,1.000000,-0.8180253,-0.6519920,-0.1660333,0.1300649,7.688469,
ten37,tensio,-0.8346728,-0.7330430,-0.1016298,1.000000,-0.8346728,-0.7330430,-0.1016298,0.1300649,7.688469,
ten38,tensio,-0.8490241,-0.7330430,-0.1159811,1.000000,-0.8490241,-0.7330430,-0.1159811,0.1300649,7.688469,
ten39,tensio,-0.8616533,-0.7330430,-0.1286103,1.000000,-0.8616533,-0.7330430,-0.1286103,0.1300649,7.688469,
ten40,tensio,-0.8714122,-0.8271380,-4.4274170E-02,1.000000,-0.8714122,-0.8271380,-4.4274170E-02,0.1300649,7.688469,
ten41,tensio,-0.8783008,-0.8271380,-5.1162804E-02,1.000000,-0.8783008,-0.8271380,-5.1162804E-02,0.1300649,7.688469,
ten42,tensio,-0.8960964,-0.8271380,-6.8958441E-02,1.000000,-0.8960964,-0.8271380,-6.8958441E-02,0.1300649,7.688469,
ten43,tensio,-0.9115959,-0.8271380,-8.4457867E-02,1.000000,-0.9115959,-0.8271380,-8.4457867E-02,0.1300649,7.688469,
ten44,tensio,-0.9253731,-0.8271380,-9.8235134E-02,1.000000,-0.9253731,-0.8271380,-9.8235134E-02,0.1300649,7.688469,
ten45,tensio,-0.9368542,-0.9378760,1.0218094E-03,1.000000,-0.9368542,-0.9378760,1.0218094E-03,0.1300649,7.688469,
ten46,tensio,-0.9512055,-0.9378760,-1.3329511E-02,1.000000,-0.9512055,-0.9378760,-1.3329511E-02,0.1300649,7.688469,
ten47,tensio,-0.9586682,-0.9378760,-2.0792197E-02,1.000000,-0.9586682,-0.9378760,-2.0792197E-02,0.1300649,7.688469,
ten48,tensio,-0.9655568,-0.9378760,-2.7680831E-02,1.000000,-0.9655568,-0.9378760,-2.7680831E-02,0.1300649,7.688469,
ten49,tensio,-0.9741676,-0.9378760,-3.6291623E-02,1.000000,-0.9741676,-0.9378760,-3.6291623E-02,0.1300649,7.688469,
ten50,tensio,-0.9810563,-0.9378760,-4.3180257E-02,1.000000,-0.9810563,-0.9378760,-4.3180257E-02,0.1300649,7.688469,
ten51,tensio,-0.9885189,-0.9378760,-5.0642944E-02,1.000000,-0.9885189,-0.9378760,-5.0642944E-02,0.1300649,7.688469,
ten52,tensio,-0.9942595,-0.9378760,-5.6383472E-02,1.000000,-0.9942595,-0.9378760,-5.6383472E-02,0.1300649,7.688469,
ten53,tensio,-1.004592,-0.9378760,-6.6716422E-02,1.000000,-1.004592,-0.9378760,-6.6716422E-02,0.1300649,7.688469,
ten54,tensio,-1.013777,-1.070203,5.6425732E-02,1.000000,-1.013777,-1.070203,5.6425732E-02,0.1300649,7.688469,
ten55,tensio,-1.007463,-1.070203,6.2740313E-02,1.000000,-1.007463,-1.070203,6.2740313E-02,0.1300649,7.688469,
ten56,tensio,-1.022388,-1.070203,4.7814940E-02,1.000000,-1.022388,-1.070203,4.7814940E-02,0.1300649,7.688469,
ten57,tensio,-1.025832,-1.070203,4.4370623E-02,1.000000,-1.025832,-1.070203,4.4370623E-02,0.1300649,7.688469,
ten58,tensio,-1.027555,-1.070203,4.2648465E-02,1.000000,-1.027555,-1.070203,4.2648465E-02,0.1300649,7.688469,
ten59,tensio,-1.036739,-1.070203,3.3463620E-02,1.000000,-1.036739,-1.070203,3.3463620E-02,0.1300649,7.688469,
ten60,tensio,-1.043628,-1.070203,2.6574986E-02,1.000000,-1.043628,-1.070203,2.6574986E-02,0.1300649,7.688469,
ten61,tensio,-1.057405,-1.070203,1.2797719E-02,1.000000,-1.057405,-1.070203,1.2797719E-02,0.1300649,7.688469,
ten62,tensio,-1.059127,-1.070203,1.1075560E-02,1.000000,-1.059127,-1.070203,1.1075560E-02,0.1300649,7.688469,
ten63,tensio,-1.052239,-1.070203,1.7964194E-02,1.000000,-1.052239,-1.070203,1.7964194E-02,0.1300649,7.688469,
ten64,tensio,-1.060276,-1.070203,9.9274547E-03,1.000000,-1.060276,-1.070203,9.9274547E-03,0.1300649,7.688469,
ten65,tensio,-1.053387,-1.070203,1.6816088E-02,1.000000,-1.053387,-1.070203,1.6816088E-02,0.1300649,7.688469,
ten66,tensio,-1.059701,-1.070203,1.0501507E-02,1.000000,-1.059701,-1.070203,1.0501507E-02,0.1300649,7.688469,
ten67,tensio,-1.064868,-1.070203,5.3350322E-03,1.000000,-1.064868,-1.070203,5.3350322E-03,0.1300649,7.688469,
ten68,tensio,-1.073479,-1.070203,-3.2757600E-03,1.000000,-1.073479,-1.070203,-3.2757600E-03,0.1300649,7.688469,
ten69,tensio,-1.086682,-1.070203,-1.6478975E-02,1.000000,-1.086682,-1.070203,-1.6478975E-02,0.1300649,7.688469,
ten70,tensio,-1.092423,-1.231099,0.1386765,1.000000,-1.092423,-1.231099,0.1386765,0.1300649,7.688469,
ten71,tensio,-1.097589,-1.231099,0.1335100,1.000000,-1.097589,-1.231099,0.1335100,0.1300649,7.688469,
ten72,tensio,-1.090700,-1.231099,0.1403987,1.000000,-1.090700,-1.231099,0.1403987,0.1300649,7.688469,
ten73,tensio,-1.102181,-1.231099,0.1289176,1.000000,-1.102181,-1.231099,0.1289176,0.1300649,7.688469,
ten74,tensio,-1.095293,-1.231099,0.1358062,1.000000,-1.095293,-1.231099,0.1358062,0.1300649,7.688469,
ten75,tensio,-1.092423,-1.231099,0.1386765,1.000000,-1.092423,-1.231099,0.1386765,0.1300649,7.688469,
ten76,tensio,-1.092997,-1.231099,0.1381024,1.000000,-1.092997,-1.231099,0.1381024,0.1300649,7.688469,
ten77,tensio,-1.092423,-1.231099,0.1386765,1.000000,-1.092423,-1.231099,0.1386765,0.1300649,7.688469,
ten78,tensio,-1.095867,-1.231099,0.1352322,1.000000,-1.095867,-1.231099,0.1352322,0.1300649,7.688469,
ten79,tensio,-1.099311,-1.231099,0.1317879,1.000000,-1.099311,-1.231099,0.1317879,0.1300649,7.688469,
ten80,tensio,-1.105052,-1.231099,0.1260473,1.000000,-1.105052,-1.231099,0.1260473,0.1300649,7.688469,
ten81,tensio,-1.107348,-1.231099,0.1237511,1.000000,-1.107348,-1.231099,0.1237511,0.1300649,7.688469,
ten82,tensio,-1.113088,-1.231099,0.1180106,1.000000,-1.113088,-1.231099,0.1180106,0.1300649,7.688469,
ten83,tensio,-1.116533,-1.231099,0.1145663,1.000000,-1.116533,-1.231099,0.1145663,0.1300649,7.688469,
ten84,tensio,-1.121125,-1.231099,0.1099739,1.000000,-1.121125,-1.231099,0.1099739,0.1300649,7.688469,
ten85,tensio,-1.129736,-1.231099,0.1013631,1.000000,-1.129736,-1.231099,0.1013631,0.1300649,7.688469,
ten86,tensio,-1.123421,-1.231099,0.1076776,1.000000,-1.123421,-1.231099,0.1076776,0.1300649,7.688469,
ten87,tensio,-1.111940,-1.231099,0.1191587,1.000000,-1.111940,-1.231099,0.1191587,0.1300649,7.688469,
ten88,tensio,-1.123995,-1.231099,0.1071036,1.000000,-1.123995,-1.231099,0.1071036,0.1300649,7.688469,
ten89,tensio,-1.181401,-1.231099,4.9698311E-02,1.000000,-1.181401,-1.231099,4.9698311E-02,0.1300649,7.688469,
ten90,tensio,-1.174512,-1.231099,5.6586945E-02,1.000000,-1.174512,-1.231099,5.6586945E-02,0.1300649,7.688469,
ten91,tensio,-1.150976,-1.231099,8.0123110E-02,1.000000,-1.150976,-1.231099,8.0123110E-02,0.1300649,7.688469,
ten92,tensio,-1.137199,-1.231099,9.3900378E-02,1.000000,-1.137199,-1.231099,9.3900378E-02,0.1300649,7.688469,
ten93,tensio,-1.126292,-1.231099,0.1048074,1.000000,-1.126292,-1.231099,0.1048074,0.1300649,7.688469,
ten94,tensio,-1.123995,-1.231099,0.1071036,1.000000,-1.123995,-1.231099,0.1071036,0.1300649,7.688469,
ten95,tensio,-1.115959,-1.231099,0.1151403,1.000000,-1.115959,-1.231099,0.1151403,0.1300649,7.688469,
ten96,tensio,-1.110792,-1.231099,0.1203068,1.000000,-1.110792,-1.231099,0.1203068,0.1300649,7.688469,
alpha,regul_soil,3.600000,3.324414,0.2755865,0.4551661,1.638598,1.513160,0.1254376,na,na,
n,regul_soil,1.500000,1.686312,-0.1863122,0.4551661,0.6827492,0.7675522,-8.4802986E-02,na,na,
ksat,regul_soil,-5.000000,-3.118910,-1.881090,0.4551661,-2.275831,-1.419622,-0.8562085,na,na,
